,text,token_list,Hashtag,Mentions
0,"Bom dia. Inicio nesta sexta-feira viagem para participar de ciclo de debates em universidades européias. 
Dia 24/03: Barcelona - Fórum Brasil Espanha. 
Dia 26/03: Universidade de Montpellier. 
Dia 27/03: Universidade de Sussex - Inglaterra. 
Dia 28/03: Sorbonne, Paris 
Acompanhe! https://t.co/kK7T1RR7Do","['dia', 'sexta-feira', 'viagem', 'participar', 'ciclo', 'debates', 'universidades', 'européias', 'dia', '24/03', 'barcelona', 'fórum', 'brasil', 'espanha', 'dia', '26/03', 'universidade', 'montpellier', 'dia', '27/03', 'universidade', 'sussex', 'inglaterra', 'dia', '28/03', 'sorbonne', 'paris', 'acompanhe']",[],[]
1,Entrevista que concedi ao Canal Rural: https://t.co/FW862YNnyg,"['entrevista', 'concedi', 'canal', 'rural']",[],[]
2,"Bom dia! Logo mais, 13h, vou conceder uma entrevista #aovivo para Kellen Severo, no programa Mercado e Companhia, do Canal Rural. 

Acompanhe pelo link:
https://t.co/C85QuXZ1Rf","['dia', '13h', 'vou', 'conceder', 'entrevista', 'kellen', 'severo', 'programa', 'mercado', 'companhia', 'canal', 'rural', 'acompanhe', 'link']",['aovivo'],[]
3,Hoje o dia foi especial no Rio de Janeiro. Tive a honra de debater o Brasil e seus problemas com a brava gente da Frente Favela Brasil. Estão fazendo um lindo trabalho! Obrigado a todas e todos! https://t.co/FQskxh2FvX,"['hoje', 'dia', 'especial', 'rio', 'janeiro', 'honra', 'debater', 'brasil', 'problemas', 'brava', 'gente', 'frente', 'favela', 'brasil', 'fazendo', 'lindo', 'trabalho']",[],[]
4,"Me encontro hoje, 16h, com a Frente Favela Brasil. Vamos conversar sobre o Brasil e este grave momento que vive nosso país. https://t.co/FD9fmLTIKf","['encontro', 'hoje', '16h', 'frente', 'favela', 'brasil', 'vamos', 'conversar', 'brasil', 'grave', 'vive', 'país']",[],[]
5,"Entrevista que concedi para Reuters. Sobre a venda do nosso petróleo: 

“O que eu estou querendo dizer, na verdade, é o seguinte: não comprem, esperem um pouco, o país vai se recelebrar”. 
https://t.co/Kqhny4e0dn","['entrevista', 'concedi', 'reuters', 'venda', 'petróleo', 'querendo', 'verdade', 'seguinte', 'comprem', 'esperem', 'país', 'recelebrar']",[],[]
6,"Um abraço fraterno no amigo e guerreiro brasileiro, Carlos Lupi, presidente nacional do PDT, que faz aniversário hoje. Desejo muita saúde, paz e que prossiga com essa lucidez e garra. 

Na foto, sob as bênçãos de Padre Cícero! https://t.co/hAniArxkmT","['abraço', 'fraterno', 'amigo', 'guerreiro', 'brasileiro', 'carlos', 'lupi', 'presidente', 'nacional', 'pdt', 'aniversário', 'hoje', 'desejo', 'muita', 'saúde', 'paz', 'prossiga', 'lucidez', 'garra', 'foto', 'bênçãos', 'padre', 'cícero']",[],[]
7,"Ato de filiação de Chico D’Angelo ao PDT. 

Bem vindo! https://t.co/9Hp1XLaeJc","['ato', 'filiação', 'chico', 'd', 'angelo', 'pdt']",[],[]
8,https://t.co/szc7bB9HW7,[],[],[]
9,Durante evento na Câmara Americana de Comércio. https://t.co/3uyw7CgNMC,"['durante', 'evento', 'câmara', 'americana', 'comércio']",[],[]
10,"Bom dia! Hoje, às 20h, estarei na Casa do Saber, em São Paulo. 

Participe!

https://t.co/TQ1ryZdcnF","['dia', 'hoje', '20h', 'estarei', 'casa', 'paulo', 'participe']",[],[]
11,"Entrevista com Nelson Marconi, coordenador do programa de governo que estamos construindo com a ajuda de muitas pessoas do Brasil todo.  https://t.co/3XHu4b2Uvs","['entrevista', 'nelson', 'marconi', 'coordenador', 'programa', 'governo', 'construindo', 'ajuda', 'muitas', 'pessoas', 'brasil']",[],[]
12,"Com a força de todas e todos vocês, vamos lutar por um Brasil mais justo!  https://t.co/LTqIVfypKF","['força', 'vamos', 'lutar', 'brasil', 'justo']",[],[]
13,"RT @PDT_Nacional: #Diversidade PDT Diversidade celebra vitória das pessoas trans no STF e no TSE. https://t.co/Dk583WRYUF
#SomosTodosPDT
#P…","['rt', 'pdt', 'diversidade', 'celebra', 'vitória', 'pessoas', 'trans', 'stf', 'tse', 'p']","['diversidade', 'somostodospdt', '']",['pdt_nacional']
14,"Dia das mulheres. Dia de Luta.
Com Miguelina, vice-presidente nacional do PDT e presidente da AMT;
Lígia, vice-governadora da Paraíba;
Creuzeli, Movimento Negro (PDT);
Martha Rocha, dep estadual (RJ);
Paulinha, prefeita de Bombinhas (SC).
Zezé, Movimento dos Aposentados (PDT) https://t.co/yfJ8ZI6djb","['dia', 'mulheres', 'dia', 'luta', 'miguelina', 'vice-presidente', 'nacional', 'pdt', 'presidente', 'amt', 'lígia', 'vice-governadora', 'paraíba', 'creuzeli', 'movimento', 'negro', 'pdt', 'martha', 'rocha', 'dep', 'estadual', 'rj', 'paulinha', 'prefeita', 'bombinhas', 'sc', 'zezé', 'movimento', 'aposentados', 'pdt']",[],[]
15,Junto com a força da juventude! https://t.co/dwh8fxptGA,"['junto', 'força', 'juventude']",[],[]
16,Debate com professores e estudantes em defesa da Universidade de Brasília (UNB). https://t.co/ulpeG7nES6,"['debate', 'professores', 'estudantes', 'defesa', 'universidade', 'brasília', 'unb']",[],[]
17,https://t.co/eefFkh3upJ,[],[],[]
18,Padre Cícero. Juazeiro do Norte. Ceará. https://t.co/GtzHf1fSDl,"['padre', 'cícero', 'juazeiro', 'norte', 'ceará']",[],[]
19,"Bom dia! Após dois dias em Santa Catarina, já estou a caminho do Cariri cearense. Hora de falar dos desafios para o futuro do Ceará e do Brasil.

Participe! https://t.co/R9MOl47qX3","['dia', 'dias', 'santa', 'catarina', 'cariri', 'cearense', 'hora', 'falar', 'desafios', 'futuro', 'ceará', 'brasil', 'participe']",[],[]
