,text,token_list,Hashtag,Mentions
0,"Para economista, informalidade do mercado de trabalho afeta propensão a consumir e prejudica retomada.
“A retomada do crescimento econômico corre riscos neste ano? SIM”
https://t.co/g9k3NLT9Pm","['economista', 'informalidade', 'mercado', 'trabalho', 'afeta', 'propensão', 'consumir', 'prejudica', 'retomada', 'retomada', 'crescimento', 'econômico', 'corre', 'riscos', 'ano']",[],[]
1,Transparência à míngua: Doria muda regras de publicações no Diário Oficial da cidade https://t.co/R3K6Ua9Yx7 via @VejaSP,"['transparência', 'míngua', 'doria', 'muda', 'regras', 'publicações', 'diário', 'oficial', 'cidade', 'via']",[],['vejasp']
2,"Doria deixa obras de corredores de ônibus de SP em marcha lenta. Uma pena. Obras prioritárias de saúde, educação, drenagem e mobilidade: todas paradas ou em marcha lenta. https://t.co/kkj0uEbITm","['doria', 'deixa', 'obras', 'corredores', 'ônibus', 'sp', 'marcha', 'lenta', 'pena', 'obras', 'prioritárias', 'saúde', 'educação', 'drenagem', 'mobilidade', 'paradas', 'marcha', 'lenta']",[],[]
3,Indo pra Curitiba! https://t.co/eAg0eGfH93,"['indo', 'pra', 'curitiba']",[],[]
4,"Diante da liderança de Bolsonaro, PSDB se deixa empurrar para os braços do fascismo. Um erro enorme!
“PT 'colhe o que planta', diz Alckmin sobre ataque a tiros a caravana de Lula” https://t.co/Jt6ePUhpvW","['liderança', 'bolsonaro', 'psdb', 'deixa', 'empurrar', 'braços', 'fascismo', 'erro', 'enorme', 'pt', 'colhe', 'planta', 'alckmin', 'ataque', 'tiros', 'caravana', 'lula']",[],[]
5,"Minha total solidariedade ao Lula, convidados e jornalistas que cobrem a caravana
“Dois ônibus da caravana de Lula são atingidos por quatro tiros no Paraná” https://t.co/bLhZkZbEfp","['total', 'solidariedade', 'lula', 'convidados', 'jornalistas', 'cobrem', 'caravana', 'ônibus', 'caravana', 'lula', 'atingidos', 'tiros', 'paraná']",[],[]
6,@rodrigo_zulian @ronaldrios @elpais_brasil O Brexit foi um tiro no pé.,"['brexit', 'tiro', 'pé']",[],"['rodrigo_zulian', 'ronaldrios', 'elpais_brasil']"
7,O dinheiro por trás da manipulação; “O ‘Brexit’ não teria acontecido sem a Cambridge Analytica” https://t.co/QJ8f7ytxT6 via @elpais_brasil,"['dinheiro', 'trás', 'manipulação', 'brexit', 'acontecido', 'cambridge', 'analytica', 'via']",[],['elpais_brasil']
8,"@basquens Linha 9 da CPTM, estação Autódromo.","['linha', '9', 'cptm', 'estação', 'autódromo']",[],['basquens']
9,"@brasilnalama Estava fazendo por etapas, com recursos do PAC Turismo.","['fazendo', 'etapas', 'recursos', 'pac', 'turismo']",[],['brasilnalama']
10,"Levar o Lollapalooza para Interlagos foi um acerto da nossa gestão. Situado numa área de preservação ambiental, Interlagos deveria se transformar num parque multiuso e não ser vendido para a especulação imobiliária.","['levar', 'lollapalooza', 'interlagos', 'acerto', 'gestão', 'situado', 'preservação', 'ambiental', 'interlagos', 'deveria', 'transformar', 'parque', 'multiuso', 'vendido', 'especulação', 'imobiliária']",[],[]
11,"@realsaulocesar @machado_fi Por isso eu falo de um OUTRO exemplo de neologismo, entendeu?","['falo', 'outro', 'neologismo', 'entendeu']",[],"['realsaulocesar', 'machado_fi']"
12,"@machado_fi Neologismos são necessários para descrever fenômenos novos. Quer ver um outro exemplo no mundo do cinema? Não pretendi faltar com educação. Só quis ser irônico, embora saiba que não é prudente nas redes sociais. Foi mal. Abraço. https://t.co/Bw8HZJp4P1","['neologismos', 'necessários', 'descrever', 'fenômenos', 'outro', 'mundo', 'cinema', 'pretendi', 'faltar', 'educação', 'quis', 'irônico', 'saiba', 'prudente', 'redes', 'sociais', 'abraço']",[],['machado_fi']
13,"@machado_fi Filipe, tô brincando com você. Sério. Agora não achei outra expressão para o fato de colocarem a frase símbolo que motivou o impeachment, proferida por um emedebista (“estancar a sangria”), na boca de um petista. Pareceu a mim ato falho revelador.","['filipe', 'tô', 'brincando', 'sério', 'achei', 'expressão', 'fato', 'colocarem', 'frase', 'símbolo', 'motivou', 'impeachment', 'proferida', 'emedebista', 'estancar', 'sangria', 'boca', 'petista', 'pareceu', 'mim', 'ato', 'falho', 'revelador']",[],['machado_fi']
14,@machado_fi Tenta 2 horas!,"['tenta', '2', 'horas']",[],['machado_fi']
15,@machado_fi Pensa mais do que 2 minutos. Você chega lá. Juro!,"['pensa', '2', 'minutos', 'chega', 'juro']",[],['machado_fi']
16,Tinha que nascer aqui esse gênero cinematográfico: a fake fiction. Pérfido mecanismo.,"['nascer', 'gênero', 'cinematográfico', 'fake', 'fiction', 'pérfido', 'mecanismo']",[],[]
17,"Perdi dois amigos: Ana Fonseca, uma guerreira contra a fome e a desigualdade; e Ricardo Bonalume Neto, jornalista raro, de grandes reportagens, que só escrevia sobre o que entendia. Farão falta!","['perdi', 'amigos', 'ana', 'fonseca', 'guerreira', 'fome', 'desigualdade', 'ricardo', 'bonalume', 'neto', 'jornalista', 'raro', 'reportagens', 'escrevia', 'entendia', 'farão']",[],[]
18,"Vale a leitura. Para Aviv Ovadya — da Universidade de Michigan e da Universidade Columbia, um apocalipse de informação que distorce a realidade não é só plausível, como também iminente.
https://t.co/EiflacMIKJ","['vale', 'leitura', 'aviv', 'ovadya', 'universidade', 'michigan', 'universidade', 'columbia', 'apocalipse', 'informação', 'distorce', 'realidade', 'plausível', 'iminente']",[],[]
19,Entrevista que dei ao Fernando Grostein Andrade. https://t.co/Ka2kNV7DRl,"['entrevista', 'dei', 'fernando', 'grostein', 'andrade']",[],[]
20,Celebrando com Chico e Carol Proner à espera do show!! Minha Carol e o Pedro curtiram!! https://t.co/OQtLNvoqGA,"['celebrando', 'chico', 'carol', 'proner', 'espera', 'show', 'carol', 'pedro', 'curtiram']",[],[]
21,@EduKapps Tens razão,['razão'],[],['edukapps']
22,"Entrevista descreve como perdemos pessoas de bem para o crime: 'A perversão começa na formação', diz ex-PM condenado https://t.co/CwbQzSriGb","['entrevista', 'descreve', 'perdemos', 'pessoas', 'crime', 'perversão', 'começa', 'formação', 'ex-pm', 'condenado']",[],[]
23,"Parabéns aos servidores da Controladoria que criamos, hoje esquecida pela imprensa e pela própria prefeitura, responsável pelo desbaratamento da máfia do ISS.
“Promotoria pede prisão do ‘rei dos fiscais’” -  https://t.co/qdxeJisaHD","['parabéns', 'servidores', 'controladoria', 'criamos', 'hoje', 'esquecida', 'imprensa', 'própria', 'prefeitura', 'responsável', 'desbaratamento', 'máfia', 'iss', 'promotoria', 'pede', 'prisão', 'rei', 'fiscais']",[],[]
24,"RT @esuplicy: É absurda a proposta do prefeito João Doria (PSDB) de acabar com o Viveiro Manequinho Lopes, no Parque do Ibirapuera, para a…","['rt', 'absurda', 'proposta', 'prefeito', 'joão', 'doria', 'psdb', 'acabar', 'viveiro', 'manequinho', 'lopes', 'parque', 'ibirapuera']",[],['esuplicy']
25,Desmonte (parte 2): Menos Fies e mais cursos virtuais levam faculdades a guerra de preços https://t.co/J3ebc8DIAb,"['desmonte', '2', 'fies', 'cursos', 'virtuais', 'levam', 'faculdades', 'guerra', 'preços']",[],[]
26,"O desmonte da escola pública prossegue: “Governo Temer quer liberar até 40% do ensino médio a distância”
https://t.co/L1P5s9vmVh","['desmonte', 'escola', 'pública', 'prossegue', 'governo', 'temer', 'liberar', '40', 'ensino', 'médio', 'distância']",[],[]
27,"Em momentos difíceis como esse, temos que celebrar a atitude corajosa do ex-Coronel da PM-RJ Robson Rodrigues em escrever este bonito depoimento sobre o caso Marielle Franco. https://t.co/b0mlleF8ug","['momentos', 'difíceis', 'celebrar', 'atitude', 'corajosa', 'ex-coronel', 'pm-rj', 'robson', 'rodrigues', 'escrever', 'bonito', 'depoimento', 'caso', 'marielle', 'franco']",[],[]
28,"Ano passado escrevi na piauí: “Durante os protestos de 2013, a percepção já era de que as ações virtuais poderiam estar sendo patrocinadas. Não se falava da Cambridge Analytica, empresa que teria atuado na eleição de Trump, usando data mining”. 
Olha isso:
https://t.co/LcQXT1FJBs","['ano', 'passado', 'escrevi', 'piauí', 'durante', 'protestos', '2013', 'percepção', 'ações', 'virtuais', 'poderiam', 'sendo', 'patrocinadas', 'falava', 'cambridge', 'analytica', 'empresa', 'atuado', 'eleição', 'trump', 'usando', 'data', 'mining', 'olha']",[],[]
29,"Marielle tinha lado, o lado da justiça: “Mãe de policial assassinado relembra ajuda de Marielle Franco no caso: 'Foi imbatível'”
https://t.co/IPbiirWkTs","['marielle', 'justiça', 'mãe', 'policial', 'assassinado', 'relembra', 'ajuda', 'marielle', 'franco', 'caso', 'imbatível']",[],[]
30,"Jornal Nexo publica matéria sobre como conversar com pessoas limítrofes sobre o caso Marielle.
https://t.co/0SrZCThhgF via @nexojornal","['jornal', 'nexo', 'publica', 'matéria', 'conversar', 'pessoas', 'limítrofes', 'caso', 'marielle', 'via']",[],['nexojornal']
31,"RT @MarceloFreixo: É com uma dor profunda que chamamos todas e todos pra vigília em homenagem a vereadora Marielle Franco, na Cinelândia. O…","['rt', 'dor', 'profunda', 'chamamos', 'pra', 'vigília', 'homenagem', 'vereadora', 'marielle', 'franco', 'cinelândia']",[],['marcelofreixo']
32,"@MarceloFreixo Querido Freixo, transmita nossa solidariedade à família da Marielle e aos seus companheiros de luta. Muita indignação!","['querido', 'freixo', 'transmita', 'solidariedade', 'família', 'marielle', 'companheiros', 'luta', 'muita', 'indignação']",[],['marcelofreixo']
33,"Ao me deparar com a notícia de que Doria renunciará a Prefeitura para concorrer ao Governo do Estado, lembrei dessa entrevista que dei ao @elpais_brasil https://t.co/6tCkcu1NX4","['deparar', 'notícia', 'doria', 'renunciará', 'prefeitura', 'concorrer', 'governo', 'lembrei', 'entrevista', 'dei']",[],['elpais_brasil']
34,"Boa matéria. Vale a leitura.
What would the ultimate child-friendly city look like? https://t.co/8tlnEzzuow","['matéria', 'vale', 'leitura', 'what', 'would', 'the', 'ultimate', 'child-friendly', 'city', 'look', 'like']",[],[]
35,"O projeto Paulista Aberta transformou nossa avenida no maior espaço cultural do país: veja programação gratuita neste domingo e aproveite!
https://t.co/1ndz8m5ZMb","['projeto', 'paulista', 'aberta', 'transformou', 'avenida', 'espaço', 'cultural', 'país', 'programação', 'gratuita', 'domingo', 'aproveite']",[],[]
36,"2) Compromisso social: Governo Lula reduziu pobreza do país em 50,6%, mostra estudo https://t.co/pHcbGKqWvk","['2', 'compromisso', 'social', 'governo', 'lula', 'reduziu', 'pobreza', 'país', '50,6', 'mostra', 'estudo']",[],[]
37,"Compromisso social: Após 1 ano, transposição do São Francisco já retira 1 milhão do colapso https://t.co/d9fL34DMbo","['compromisso', 'social', '1', 'ano', 'transposição', 'francisco', 'retira', '1', 'milhão', 'colapso']",[],[]
38,Por que deputados e senadores deveriam ser eleitos no segundo turno das eleições e não no primeiro. https://t.co/rWptRiG8fm,"['deputados', 'senadores', 'deveriam', 'eleitos', 'turno', 'eleições']",[],[]
39,https://t.co/YHup7nnGU6,[],[],[]
40,https://t.co/ZkRVMWReNp,[],[],[]
41,"RT @LulapeloBrasil: Encontro com cicloativistas de São Paulo no Instituto Lula. 

Foto: Ricardo Stuckert https://t.co/UzSQYmhk18","['rt', 'encontro', 'cicloativistas', 'paulo', 'instituto', 'lula', 'foto', 'ricardo', 'stuckert']",[],['lulapelobrasil']
42,"Lula mantém liderança nos cenários eleitorais em que aparece, diz pesquisa CNT/MDA via @UOLEconomia @UOL  https://t.co/sqaV7O2gRc","['lula', 'mantém', 'liderança', 'cenários', 'eleitorais', 'aparece', 'pesquisa', 'cnt', 'mda', 'via']",[],"['uoleconomia', 'uol']"
43,"Sei que há muita ansiedade em relação às eleições de 2018, mas minha posição, que respeita quem pensa diferente, é de defesa absoluta da candidatura de Lula, como não canso de repetir. E só a dele!","['muita', 'ansiedade', 'eleições', '2018', 'respeita', 'pensa', 'diferente', 'defesa', 'absoluta', 'candidatura', 'lula', 'canso', 'repetir']",[],[]
44,@nananeri Muito bom mesmo! Obrigado pela dica.,['dica'],[],['nananeri']
45,"Crônica do Antônio Prata. Não é pra ficar bravo. Bom humor nesse domingo!
“São Paulo para os motoristas”
https://t.co/M8ALoiKvno","['crônica', 'antônio', 'prata', 'pra', 'ficar', 'bravo', 'humor', 'domingo', 'paulo', 'motoristas']",[],[]
46,"Hoje termino a quarta temporada de Peaky Blinders. Cada vez melhor. Agora,  a trilha sonora, para quem gosta de rock contemporâneo, é demais!","['hoje', 'termino', 'temporada', 'peaky', 'blinders', 'melhor', 'trilha', 'sonora', 'gosta', 'rock', 'contemporâneo']",[],[]
47,@Criskante @wandernardino Adorei trocar ideias com você. Respeitosamente. Me despeço por hoje. Abraço.,"['adorei', 'trocar', 'ideias', 'respeitosamente', 'despeço', 'hoje', 'abraço']",[],"['criskante', 'wandernardino']"
48,@Criskante @wandernardino Ela teve mais curtidas do que você: https://t.co/e9w1R4Yuws,['curtidas'],[],"['criskante', 'wandernardino']"
49,"@Criskante @wandernardino Ana Estela Haddad cuidou das crianças da Cracolândia pessoalmente:
https://t.co/e6SnLMaPPx","['ana', 'estela', 'haddad', 'cuidou', 'crianças', 'cracolândia', 'pessoalmente']",[],"['criskante', 'wandernardino']"
50,"@Criskante Dá outra lida.
https://t.co/EO7bF3vgJC",['lida'],[],['criskante']
51,@Criskante Dá uma lida. https://t.co/8TrWXvamXR,['lida'],[],['criskante']
52,"Os 262 usuários de drogas que perderam seu alojamento, hoje perdem seu trabalho, sem serem consultados. Crueldade sem limites. Folha e Estadão jamais os entrevistaram. Invisibilidade total!!  https://t.co/d7auk3uBHU","['262', 'usuários', 'drogas', 'perderam', 'alojamento', 'hoje', 'perdem', 'trabalho', 'serem', 'consultados', 'crueldade', 'limites', 'folha', 'estadão', 'jamais', 'entrevistaram', 'invisibilidade', 'total']",[],[]
53,Mais um sinal de obscurantismo: Chefe da Agência Brasil é demitido por matéria que desagradou Temer e Alckmin https://t.co/S212C4kBRZ via @redebrasilatual,"['sinal', 'obscurantismo', 'chefe', 'agência', 'brasil', 'demitido', 'matéria', 'desagradou', 'temer', 'alckmin', 'via']",[],['redebrasilatual']
54,"Nascemos para ser livres: Depois de o MEC tentar censurar um curso da UnB intitulado ""O golpe de 2016 e o futuro da democracia no Brasil"", a Unicamp vai realizar disciplina optativa, aberta ao público, de mesmo tema e nome.
https://t.co/S3BlSlm4h2","['nascemos', 'livres', 'mec', 'censurar', 'curso', 'unb', 'intitulado', 'golpe', '2016', 'futuro', 'democracia', 'brasil', 'unicamp', 'realizar', 'disciplina', 'optativa', 'aberta', 'público', 'tema', 'nome']",[],[]
55,"Alguém saberia me dizer por que Folha e Estadão não estão dando voz às 156 entidades que estão contra a destruição do Plano Diretor de SP, premiado pela ONU e pelo Archdaily? https://t.co/FMVGCPc0Xi","['alguém', 'saberia', 'folha', 'estadão', 'dando', 'voz', '156', 'entidades', 'destruição', 'plano', 'diretor', 'sp', 'premiado', 'onu', 'archdaily']",[],[]
56,Entrevista com Fábio Konder Comparato: “A dominação oligárquica sempre existiu entre nós como algo natural” https://t.co/8xeNFcSZd8 via @cartacapital,"['entrevista', 'fábio', 'konder', 'comparato', 'dominação', 'oligárquica', 'existiu', 'natural', 'via']",[],['cartacapital']
57,@alochico https://t.co/hoyoM1iiYO,[],[],['alochico']
58,"Se o jornalismo é um mal necessário, o mau jornalismo é um mal desnecessário.","['jornalismo', 'necessário', 'mau', 'jornalismo', 'desnecessário']",[],[]
59,Faxineiro e filha são aprovados juntos em universidade federal. Posso assegurar que isso não existia no Brasil. https://t.co/bZEsehuWd3,"['faxineiro', 'filha', 'aprovados', 'juntos', 'universidade', 'federal', 'assegurar', 'existia', 'brasil']",[],[]
60,Cinema brasileiro premiado em Berlim. A resposta pela arte. https://t.co/1YZdZ2kp3l via @UOLEntrete @UOL,"['cinema', 'brasileiro', 'premiado', 'berlim', 'resposta', 'arte', 'via']",[],"['uolentrete', 'uol']"
61,Pesquisa aponta que metade das mulheres que engravidam perde o emprego até dois anos depois da licença-maternidade. https://t.co/wOXjZbrTZz via @elpais_brasil,"['pesquisa', 'aponta', 'metade', 'mulheres', 'engravidam', 'perde', 'emprego', 'anos', 'licença-maternidade', 'via']",[],['elpais_brasil']
