,text,token_list,Hashtag,Mentions
0,"Em São Paulo, investimos fortemente na ampliação da capacidade de reservação, interligando sistemas e bacias hidrográficas diferentes #DiaMundialDaÁgua","['paulo', 'investimos', 'fortemente', 'ampliação', 'capacidade', 'reservação', 'interligando', 'sistemas', 'bacias', 'hidrográficas', 'diferentes']",['diamundialdaágua'],[]
1,"Uma das conquistas que tivemos em relação à água foi a obra da Sabesp que une as bacias do Rio Paraíba do Sul e do sistema Cantareira. Investimento pesado para garantir a segurança hídrica das regiões metropolitanas de São Paulo, Campinas e até do Rio de Janeiro.#DiaMundialdaÁgua https://t.co/FoPXBO7tWk","['conquistas', 'obra', 'sabesp', 'une', 'bacias', 'rio', 'paraíba', 'sul', 'cantareira', 'investimento', 'pesado', 'garantir', 'segurança', 'hídrica', 'regiões', 'metropolitanas', 'paulo', 'campinas', 'rio', 'janeiro']",['diamundialdaágua'],[]
2,Defendo que não haja tributação sobre saneamento básico. Isso ajudaria nos investimentos para garantir a segurança hídrica. #DiaMundialDaÁgua,"['defendo', 'tributação', 'saneamento', 'básico', 'ajudaria', 'investimentos', 'garantir', 'segurança', 'hídrica']",['diamundialdaágua'],[]
3,"Hoje é o Dia Mundial da Água, data importante para discutirmos políticas de saneamento e preservação. Em SP, vencemos a maior seca dos últimos 100 anos e não paramos de trabalhar. Plantamos mais de 12,7 milhões de mudas na recuperação de mata ciliar, preservando nossas nascentes. https://t.co/lRdEE0BcF8","['hoje', 'dia', 'mundial', 'data', 'importante', 'discutirmos', 'políticas', 'saneamento', 'preservação', 'sp', 'vencemos', 'seca', '100', 'anos', 'paramos', 'trabalhar', 'plantamos', '12,7', 'milhões', 'mudas', 'recuperação', 'mata', 'ciliar', 'preservando', 'nascentes']",[],[]
4,"As transposições são importantes. Nós já ajudamos, através das bombas da Sabesp, a chegar água mais rápido em Pernambuco, Paraíba e também no eixo leste. #DiaMundialDaÁgua","['transposições', 'importantes', 'ajudamos', 'bombas', 'sabesp', 'chegar', 'rápido', 'pernambuco', 'paraíba', 'eixo', 'leste']",['diamundialdaágua'],[]
5,"Reforço na saúde! Autorizamos a contratação de 210 enfermeiros e técnicos de enfermagem para o Hospital do Servidor Público de São Paulo, um ótimo equipamento de saúde pública que fica agora ainda melhor. Saúde é prioridade, é direito do cidadão! #PreparadoParaoBrasil https://t.co/hEabYxJDA7","['reforço', 'saúde', 'autorizamos', 'contratação', '210', 'enfermeiros', 'técnicos', 'enfermagem', 'hospital', 'servidor', 'público', 'paulo', 'equipamento', 'saúde', 'pública', 'fica', 'melhor', 'saúde', 'prioridade', 'direito', 'cidadão']",['preparadoparaobrasil'],[]
6,"Criamos o sistema de coleta e identificação biométrica eletrônica em SP. Assim, vamos estender o uso da tecnologia a outros serviços públicos além de emissão de documentos e ainda possibilitar a verificação de identidade em compras no comércio, prevenindo fraudes e prejuízos. https://t.co/4hYCzrYxpb","['criamos', 'coleta', 'identificação', 'biométrica', 'eletrônica', 'sp', 'vamos', 'estender', 'uso', 'tecnologia', 'serviços', 'públicos', 'emissão', 'documentos', 'possibilitar', 'verificação', 'identidade', 'compras', 'comércio', 'prevenindo', 'fraudes', 'prejuízos']",[],[]
7,"""Tolerância zero com a corrupção. Quem enriquece na política é ladrão. Acredito que vamos ter um Brasil melhor depois de todo esse sofrimento que passamos"", ao vivo na RCC FM. Programa acaba de terminar.","['tolerância', 'corrupção', 'enriquece', 'política', 'ladrão', 'acredito', 'vamos', 'brasil', 'melhor', 'sofrimento', 'passamos', 'vivo', 'rcc', 'fm', 'programa', 'acaba', 'terminar']",[],[]
8,"""Temos que saber jogar o jogo do século XXI: inserção internacional. Por que o agronegócio vai bem? Porque é competitivo e exporta para o mundo inteiro"". Ao vivo agora, siga: https://t.co/Zf3n0kWDp9","['jogar', 'jogo', 'século', 'xxi', 'inserção', 'internacional', 'agronegócio', 'competitivo', 'exporta', 'mundo', 'inteiro', 'vivo', 'siga']",[],[]
9,"""De um lado, temos que equipar a saúde para ajudar o jovem a sair da dependência química. Do outro, temos que combater o tráfico de drogas, o narcotraficante, o tráfico de armas. Vamos priorizar a questão da segurança pública"". Ao vivo agora, siga: https://t.co/Zf3n0kWDp9","['equipar', 'saúde', 'ajudar', 'jovem', 'sair', 'dependência', 'química', 'outro', 'combater', 'tráfico', 'drogas', 'narcotraficante', 'tráfico', 'armas', 'vamos', 'priorizar', 'segurança', 'pública', 'vivo', 'siga']",[],[]
10,"""Ninguém está acima da lei. Não é por que é petista ou de qualquer partido que vai estar acima da lei. O Brasil tinha impunidade para o crime do colarinho do branco. Estamos vivendo um outro momento na história da política brasileira"". Ao vivo agora, siga: https://t.co/Zf3n0kWDp9","['ninguém', 'acima', 'lei', 'petista', 'partido', 'acima', 'lei', 'brasil', 'impunidade', 'crime', 'colarinho', 'branco', 'vivendo', 'outro', 'história', 'política', 'brasileira', 'vivo', 'siga']",[],[]
11,"Agora ao vivo no programa Conversa de Fim de Tarde da rádio RCC FM, de Sant'Ana do Livramento-RS. Acompanhem! https://t.co/Zf3n0kWDp9 https://t.co/HCuNyADZEI","['vivo', 'programa', 'conversa', 'rádio', 'rcc', 'fm', ""sant'ana"", 'livramento-rs', 'acompanhem']",[],[]
12,"Estarei ao vivo às 17h30 no programa Conversa de Fim de Tarde da rádio RCC FM, de Sant'Ana do Livramento-RS. Acompanhem! https://t.co/Zf3n0kWDp9 https://t.co/vf2E5gHq0x","['estarei', 'vivo', '17h30', 'programa', 'conversa', 'rádio', 'rcc', 'fm', ""sant'ana"", 'livramento-rs', 'acompanhem']",[],[]
13,"Inauguramos hoje as novas instalações do Bloco III do Incor, com uma bela apresentação preparada pelo Dr. Roberto Kalil Filho e sua equipe. Fizemos um investimento de R$ 58 milhões no prédio. É o melhor serviço de cardiologia e pneumologia da América Latina. #PreparadoParaoBrasil https://t.co/PEvtE3wgbq","['inauguramos', 'hoje', 'instalações', 'bloco', 'iii', 'incor', 'bela', 'apresentação', 'preparada', 'dr', 'roberto', 'kalil', 'filho', 'equipe', 'fizemos', 'investimento', 'r', '58', 'milhões', 'prédio', 'melhor', 'serviço', 'cardiologia', 'pneumologia', 'américa', 'latina']",['preparadoparaobrasil'],[]
14,"Na última eleição, 20 milhões de eleitores não votaram, mesmo o voto sendo obrigatório. Há realmente uma crise na política. Precisamos dar esperança à população, para que as pessoas acreditem no poder do voto.","['eleição', '20', 'milhões', 'eleitores', 'votaram', 'voto', 'sendo', 'obrigatório', 'realmente', 'crise', 'política', 'precisamos', 'esperança', 'população', 'pessoas', 'acreditem', 'voto']",[],[]
15,Boa notícia para educação. Vamos abrir concurso público para seleção de supervisores de ensino para a rede pública do Estado. São 372 vagas! Investimento forte para melhorar a educação. #PreparadoParaoBrasil https://t.co/wvlsYXwrHO,"['notícia', 'educação', 'vamos', 'abrir', 'concurso', 'público', 'seleção', 'supervisores', 'ensino', 'rede', 'pública', '372', 'vagas', 'investimento', 'forte', 'melhorar', 'educação']",['preparadoparaobrasil'],[]
16,"Lançamos uma série de medidas para fortalecer a agricultura, tanto para grandes produtores quanto para a agricultura familiar. São 15 ações que vão beneficiar o setor e, consequentemente, a economia brasileira. #PreparadoParaoBrasil https://t.co/saRRX5qG0c","['lançamos', 'série', 'medidas', 'fortalecer', 'agricultura', 'produtores', 'agricultura', 'familiar', '15', 'ações', 'beneficiar', 'setor', 'consequentemente', 'economia', 'brasileira']",['preparadoparaobrasil'],[]
