,text,token_list,Hashtag,Mentions
0,👍🏻🇧🇷👍🏻 https://t.co/KwK8FUia5t,[],[],[]
1,Meu aniversário é amanhã mas hoje recebi uma grande surpresa da Lilian. Obrigado pelo presente e pela consideração! Um forte abraço! https://t.co/6JAS2FSs4A,"['aniversário', 'amanhã', 'hoje', 'recebi', 'surpresa', 'lilian', 'presente', 'consideração', 'forte', 'abraço']",[],[]
2,IRMÃOS DE IDEAIS E MUITA GENTE ACREDITA QUE ISSO NÃO EXISTE! Venezuela dá calote em dívida com BNDES e União assume pagamento de quase R$1 bilhão usando seu dinheiro. https://t.co/FQ5LKIvbHS,"['irmãos', 'ideais', 'muita', 'gente', 'acredita', 'existe', 'venezuela', 'calote', 'dívida', 'bndes', 'união', 'assume', 'pagamento', 'quase', 'r', '1', 'bilhão', 'usando', 'dinheiro']",[],[]
3,"Projeto Pensar Brasil: iniciativa do Deputado Federal @BolsonaroSP ,que desde 2017, convida profissionais de diversas áreas para explanar possíveis soluções na vida do brasileiro. Tema da vez: SEGURANÇA PÚBLICA com General Heleno e @MajorVitorHugo . https://t.co/AqY7p2gyaj","['projeto', 'pensar', 'brasil', 'iniciativa', 'deputado', 'federal', '2017', 'convida', 'profissionais', 'diversas', 'áreas', 'explanar', 'possíveis', 'soluções', 'vida', 'brasileiro', 'tema', 'segurança', 'pública', 'general', 'heleno']",[],"['bolsonarosp', 'majorvitorhugo']"
4,Juca Kfouri é condenado por agressões verbais contra Jair Bolsonaro (cabe recurso). Por Fernanda Salles. https://t.co/MPreIQxQ3i,"['juca', 'kfouri', 'condenado', 'agressões', 'verbais', 'jair', 'bolsonaro', 'cabe', 'recurso', 'fernanda', 'salles']",[],[]
5,"Peço ler a matéria onde Mailson, que me critica, na verdade mostra por A+B porque o Brasil nunca deu certo. Obrigado Sr. Mailson por tão esclarecedora matéria. Comente! https://t.co/zQJ0K1oDeb","['peço', 'ler', 'matéria', 'mailson', 'critica', 'verdade', 'mostra', 'b', 'brasil', 'deu', 'certo', 'sr', 'mailson', 'esclarecedora', 'matéria', 'comente']",[],[]
6,"Desde quando a Aeronáutica passou a apoiar transporte órgãos, nos últimos 10 meses 476 fígados, corações, rins, pâncreas, pulmões, baços, ... salvaram vidas. Parabéns Forças Armadas. https://t.co/WVtAlzPpmS","['aeronáutica', 'passou', 'apoiar', 'transporte', 'órgãos', 'últimos', '10', '476', 'fígados', 'corações', 'rins', 'pâncreas', 'pulmões', 'baços', 'salvaram', 'vidas', 'parabéns', 'forças', 'armadas']",[],[]
7,"Ao Grande @RenzoGracieBJJ , grato pela consideração. https://t.co/T7gze7XTmw","['grato', 'consideração']",[],['renzograciebjj']
8,Bom Domingo a todos! https://t.co/4q6K6eySpY,['domingo'],[],[]
9,PESQUISA INTENÇÃO DE VOTOS: MATO GROSSO DO SUL https://t.co/UkCHq1iBoz,"['pesquisa', 'intenção', 'votos', 'mato', 'grosso', 'sul']",[],[]
