,text,token_list,Hashtag,Mentions
0,"“O Novo foi montado sem um salvador da pátria. A nossa missão é devolver o poder ao cidadão, que nos últimos anos perdeu a capacidade de empreender e gerar riqueza. Queremos acabar com os privilégios que deixaram a população estagnada”
https://t.co/FzwK8qWvDH","['montado', 'salvador', 'pátria', 'missão', 'devolver', 'cidadão', 'últimos', 'anos', 'perdeu', 'capacidade', 'empreender', 'gerar', 'riqueza', 'queremos', 'acabar', 'privilégios', 'deixaram', 'população', 'estagnada']",[],[]
1,"Anúncio do lançamento da minha pré-candidatura em Maceió, 28/03. O evento será aberto e pretende debater a renovação da política, a necessidade de modernizar o Estado, acabar com os privilégios e colocar o cidadão como protagonista dessa mudança.

https://t.co/FVJ7HbtwOw","['anúncio', 'lançamento', 'pré-candidatura', 'maceió', '28/03', 'evento', 'aberto', 'pretende', 'debater', 'renovação', 'política', 'necessidade', 'modernizar', 'acabar', 'privilégios', 'colocar', 'cidadão', 'protagonista', 'mudança']",[],[]
2,"RT @albuquerque_af: Tiro certo

--NOVO/@joaoamoedonovo : CONVIDARIA ILAN GOLDFAJN PARA FICAR MAIS 2 ANOS COMO PRESIDENTE DO BC","['rt', 'tiro', 'certo', 'convidaria', 'ilan', 'goldfajn', 'ficar', '2', 'anos', 'presidente', 'bc']",[],"['albuquerque_af', 'joaoamoedonovo']"
3,"“Os 4 partidos que mais receberão dinheiro do Governo para as eleições são os principais envolvidos na Lava-Jato. É como se estivéssemos premiando a corrupção”
Hoje participei do ""Money Talks"" do @MoneyReportBR. Em breve estará disponível! https://t.co/LEkeIXa5DU","['4', 'partidos', 'receberão', 'dinheiro', 'governo', 'eleições', 'principais', 'envolvidos', 'lava-jato', 'premiando', 'corrupção', 'hoje', 'participei', 'money', 'talks', 'disponível']",[],['moneyreportbr']
4,Capa do Jornal @folhape hoje! #OndaLaranja #VamosRenovarTudo https://t.co/na3hgFtlPu,"['capa', 'jornal', 'hoje']","['ondalaranja', 'vamosrenovartudo']",['folhape']
5,"RT @jc_pe: 'Espero que ele seja preso', diz pré-candidato à Presidência do partido Novo sobre Lula https://t.co/PiwVgRGuH1 https://t.co/zeO…","['rt', 'espero', 'preso', 'pré-candidato', 'presidência', 'partido', 'lula']",[],['jc_pe']
6,"""Para o pré-candidato do NOVO à Presidência, o ex-presidente Lula (PT) deve ser preso, o Brasil precisa de privatizações, reforma da previdência e de mais incentivo ao empreendedorismo"". Veja a entrevista completa em: https://t.co/vLNQEvaPvs via @jc_pe","['pré-candidato', 'presidência', 'ex-presidente', 'lula', 'pt', 'preso', 'brasil', 'precisa', 'privatizações', 'reforma', 'previdência', 'incentivo', 'empreendedorismo', 'entrevista', 'completa', 'via']",[],['jc_pe']
7,"Espero que quinta-feira os ministros do STF tomem uma decisão à altura de uma suprema corte. Ninguém aguenta mais tanta impunidade. Ninguém está acima da lei. Especialmente os políticos, que deveriam dar o exemplo, e não envergonhar a população brasileira.","['espero', 'quinta-feira', 'ministros', 'stf', 'tomem', 'decisão', 'altura', 'suprema', 'corte', 'ninguém', 'aguenta', 'impunidade', 'ninguém', 'acima', 'lei', 'especialmente', 'políticos', 'deveriam', 'envergonhar', 'população', 'brasileira']",[],[]
8,"""Nós (brasileiros) não precisamos de mordomias para servir à pátria. Precisamos de eficiência e simplicidade. Precisamos do fim dos privilégios, seja ele para quem for"" -Jorge Petribú, ontem no evento do @partidonovo30.
Confira a cobertura completa do evento na reportagem abaixo! https://t.co/g2K9vK7gA3","['brasileiros', 'precisamos', 'mordomias', 'servir', 'pátria', 'precisamos', 'eficiência', 'simplicidade', 'precisamos', 'privilégios', 'jorge', 'petribú', 'evento', 'confira', 'cobertura', 'completa', 'evento', 'reportagem', 'abaixo']",[],['partidonovo30']
9,"Acabei de pousar em SP. Agradeço ao apoio e à participação dos mais de 500 pernambucanos que foram ontem no evento e gostaria de dar boas-vindas aos novos filiados. 
O NOVO está crescendo muito. Vamos, juntos,levar essa onda laranja por todo país e trabalhar por um Brasil melhor! https://t.co/9Q7piqX4sF","['acabei', 'pousar', 'sp', 'agradeço', 'participação', '500', 'pernambucanos', 'evento', 'gostaria', 'boas-vindas', 'filiados', 'crescendo', 'vamos', 'juntos', 'levar', 'onda', 'laranja', 'país', 'trabalhar', 'brasil', 'melhor']",[],[]
10,"Nós temos os políticos mais caros do mundo. Os políticos devem dar o exemplo, cortando seus próprios privilégios. #FimDosPrivilégios https://t.co/zcyuZ9GkkI","['políticos', 'caros', 'mundo', 'políticos', 'cortando', 'próprios', 'privilégios']",['fimdosprivilégios'],[]
11,"No evento de ontem, um apoiador explicou o que queremos dizer quando falamos em reduzir o peso do Governo: ""Quando compramos 1kg de arroz, pagamos por 2kg. 1kg vai para a máquina do Governo e o outro fica com a gente. No NOVO, queremos que você pague 2kg e fique com os 2kg"". https://t.co/5VtqmZsXdi","['evento', 'apoiador', 'explicou', 'queremos', 'falamos', 'reduzir', 'peso', 'governo', 'compramos', '1kg', 'arroz', 'pagamos', '2kg', '1kg', 'máquina', 'governo', 'outro', 'fica', 'gente', 'queremos', 'pague', '2kg', 'fique', '2kg']",[],[]
12,"https://t.co/xXBKKbLhTL

A sociedade não aguenta mais impunidade. O réu condenado em segunda instância deve ser preso, como acontece nos Estados Unidos ou na França. É um desrespeito à população que este assunto seja pautado para evitar a prisão do ex-presidente já condenado.","['sociedade', 'aguenta', 'impunidade', 'réu', 'condenado', 'instância', 'preso', 'acontece', 'estados', 'unidos', 'frança', 'desrespeito', 'população', 'assunto', 'pautado', 'evitar', 'prisão', 'ex-presidente', 'condenado']",[],[]
13,"""Caro Amoêdo, que a política nunca abale os seus princípios éticos. Receba meu abraço"". Recebi esse presente, que é uma entrevista que dei em 2011, do mais novo filiado de Pernambuco, Jorge Petribu. 
Seja bem-vindo! Muito bom poder contar com você no @partidonovo30. https://t.co/xnvN4LzTtU","['caro', 'amoêdo', 'política', 'abale', 'princípios', 'éticos', 'receba', 'abraço', 'recebi', 'presente', 'entrevista', 'dei', '2011', 'filiado', 'pernambuco', 'jorge', 'petribu', 'bem-vindo', 'contar']",[],['partidonovo30']
14,Mais de 500 pessoas em Recife hoje. Incrível! #VamosRenovarTudo #FimDosPrivilegios https://t.co/OwMfum8RTj,"['500', 'pessoas', 'recife', 'hoje', 'incrível']","['vamosrenovartudo', 'fimdosprivilegios']",[]
15,"@Jveigah Com renovação e engajamento do cidadão, podemos ser!","['renovação', 'engajamento', 'cidadão', 'podemos']",[],['jveigah']
16,"@waidemania Creio que é preciso uma articulação com organismos internacionais. O Brasil não tem os meios para, sozinho, lidar com a crise humanitária no nosso país vizinho.","['creio', 'preciso', 'articulação', 'organismos', 'internacionais', 'brasil', 'meios', 'sozinho', 'lidar', 'crise', 'humanitária', 'país', 'vizinho']",[],['waidemania']
17,@marcelo260176 ótima!,['ótima'],[],['marcelo260176']
18,O petróleo é nosso #CiteUmaMentira,['petróleo'],['citeumamentira'],[]
19,A Venezuela é uma democracia. #CiteUmaMentira,"['venezuela', 'democracia']",['citeumamentira'],[]
20,"Enquanto em terra o Brasil amarga 12 milhões de desempregados, no ar nossos políticos têm todas as mordomias.
#FimDosPrivilégios https://t.co/FlmptHyhBW","['terra', 'brasil', 'amarga', '12', 'milhões', 'desempregados', 'ar', 'políticos', 'mordomias']",['fimdosprivilégios'],[]
21,"A crise é midiática mas é o povo brasileiro é quem paga a conta, não é @jandira_feghali ?

https://t.co/XpKEeemayY","['crise', 'midiática', 'brasileiro', 'paga', 'conta']",[],['jandira_feghali']
22,"Acompanhe ao vivo minha entrevista em Recife! 
https://t.co/46rTSxZa17 https://t.co/6AXMHmxSdT","['acompanhe', 'vivo', 'entrevista', 'recife']",[],[]
23,Entrevista para a @cbnrecife. https://t.co/33yxz9U7Ce,['entrevista'],[],['cbnrecife']
24,"Apesar de 5 anos com prejuízos bilionários, e fechando 2017 com mais de R$ 2 bilhões de prejuízos, os Correios acabam de aprovar patrocínio de R$ 700 mil para a Confederação de Squash. Os Correios também reservaram R$ 1,9 milhão para o rugby.

Você concorda?
via @Estadao","['apesar', '5', 'anos', 'prejuízos', 'bilionários', 'fechando', '2017', 'r', '2', 'bilhões', 'prejuízos', 'correios', 'acabam', 'aprovar', 'patrocínio', 'r', '700', 'confederação', 'squash', 'correios', 'reservaram', 'r', '1,9', 'milhão', 'rugby', 'concorda', 'via']",[],['estadao']
25,@Estadao @colunadoestadao O próprio Governo nos dá inúmeros motivos para privatização.,"['governo', 'inúmeros', 'motivos', 'privatização']",[],"['estadao', 'colunadoestadao']"
26,O próprio Governo nos dá inúmeros motivos para privatização. https://t.co/gpxg7cbhXm,"['governo', 'inúmeros', 'motivos', 'privatização']",[],[]
27,"Achei essa foto de março de 2016. A turma de Porto Alegre arcou com os custos da aquisição e reforma da Kombi que foi usada para divulgar o @partidonovo30 pela região. 
Muito legal!! https://t.co/ZOsQfJutja","['achei', 'foto', 'março', '2016', 'turma', 'porto', 'alegre', 'arcou', 'custos', 'aquisição', 'reforma', 'kombi', 'usada', 'divulgar', 'região', 'legal']",[],['partidonovo30']
28,"Anúncio da minha visita hoje a Recife no @JCommercio. 
O evento será hoje às 19h.
Inscreva-se aqui: https://t.co/Nc5QUEJsGp https://t.co/pivpAqL932","['anúncio', 'visita', 'hoje', 'recife', 'evento', 'hoje', '19h', 'inscreva-se']",[],['jcommercio']
29,"Um governo autoritário e socialista que deixou as pessoas subnutridas, sem liberdade e fugindo do país é o modelo que a Deputada apoia. Não é esse o modelo que queremos para o Brasil.
Nos solidarizamos com os venezuelanos. https://t.co/zBfSvEvYON","['governo', 'autoritário', 'socialista', 'deixou', 'pessoas', 'subnutridas', 'liberdade', 'fugindo', 'país', 'modelo', 'deputada', 'modelo', 'queremos', 'brasil', 'solidarizamos', 'venezuelanos']",[],[]
30,"Os desafios te motivam ou te desanimam?Sempre ouvimos que éramos doidos,que nunca conseguiríamos.Mas os desafios nos trouxeram até aqui:elegemos gente com vontade de mudar, que abre mão de privilégios e luta p/ reduzir burocracia e impostos.Não vamos desistir até renovarmos tudo! https://t.co/8k2Ta8pl1M","['desafios', 'motivam', 'desanimam', 'ouvimos', 'doidos', 'conseguiríamos', 'desafios', 'trouxeram', 'elegemos', 'gente', 'vontade', 'mudar', 'abre', 'mão', 'privilégios', 'luta', 'p', 'reduzir', 'burocracia', 'impostos', 'vamos', 'desistir', 'renovarmos']",[],[]
31,Ninguém aguenta mais tanta impunidade. #ResistaCarmenLucia,"['ninguém', 'aguenta', 'impunidade']",['resistacarmenlucia'],[]
32,A  #OndaLaranja está crescendo até mesmo fora do Brasil! Neste mês o site https://t.co/zMVkx7Bc7M foi visitado por brasileiros em 49 países!,"['crescendo', 'brasil', 'site', 'visitado', 'brasileiros', '49', 'países']",['ondalaranja'],[]
33,"Já temos pessoas de 1116 cidades no nosso WhatsApp!
Cadastre-se em https://t.co/J6pe3qyAcI","['pessoas', '1116', 'cidades', 'whatsapp', 'cadastre-se']",[],[]
34,"RT @partidonovo30: A filiada @rosannegarcia30 ,como muitos filiados e voluntários pelo Brasil, está apresentando as nossas ideias na casa d…","['rt', 'filiada', 'filiados', 'voluntários', 'brasil', 'apresentando', 'ideias', 'casa', 'd']",[],"['partidonovo30', 'rosannegarcia30']"
35,"Precisamos de um país seguro, em que as pessoas vivam sem medo dentro e fora de casa. Em que nossas vidas sejam poupadas, nossos bens protegidos, nossos contratos seguidos.","['precisamos', 'país', 'seguro', 'pessoas', 'vivam', 'medo', 'casa', 'vidas', 'poupadas', 'bens', 'protegidos', 'contratos', 'seguidos']",[],[]
36,RT @partidonovo30: Defesa de condenados articula manobras junto ao STF. Querem o fim da prisão em Segunda Instância lançando mão de muita c…,"['rt', 'defesa', 'condenados', 'articula', 'manobras', 'junto', 'stf', 'prisão', 'instância', 'lançando', 'mão', 'muita', 'c']",[],['partidonovo30']
37,"Nossa economia só vai decolar com geração de empregos, crescimento e oportunidades quando tivermos um país seguro, simples e livre.","['economia', 'decolar', 'geração', 'empregos', 'crescimento', 'oportunidades', 'país', 'seguro', 'simples', 'livre']",[],[]
38,Estamos organizando um grande evento no Rio de Janeiro dia 03/04. Publicarei quando estiver confirmado! https://t.co/UZNw79uBbQ,"['organizando', 'evento', 'rio', 'janeiro', 'dia', '03/04', 'publicarei', 'confirmado']",[],[]
39,"Essa é a minha agenda para as próximas semanas.
Clique aqui para se inscrever: https://t.co/MhoT1mVDDh https://t.co/IWYJaErPn9","['agenda', 'próximas', 'semanas', 'clique', 'inscrever']",[],[]
40,"Além de alavancar a corrupção e quebrar o país, a nossa classe política fez pior: destruiu no povo brasileiro a capacidade de acreditar em nós mesmos, em construir um novo Brasil.
O NOVO é a arma democrática dos brasileiros para a renovação da nossa política e da nossa confiança.","['alavancar', 'corrupção', 'quebrar', 'país', 'classe', 'política', 'pior', 'destruiu', 'brasileiro', 'capacidade', 'acreditar', 'mesmos', 'construir', 'brasil', 'arma', 'democrática', 'brasileiros', 'renovação', 'política', 'confiança']",[],[]
41,"Amanhã estarei em Recife para divulgar o @partidonovo30. 
Inscrições: https://t.co/jtjBjMy3zm
(EVENTO GRATUITO)
Participe, divulgue para os seus amigos. 
Vamos levar a mensagem do NOVO para o maior número de pessoas! https://t.co/8jXAOBdfkM","['amanhã', 'estarei', 'recife', 'divulgar', 'inscrições', 'evento', 'gratuito', 'participe', 'divulgue', 'amigos', 'vamos', 'levar', 'mensagem', 'pessoas']",[],['partidonovo30']
42,Qual político você conhece que está disposto a abrir mão de tantos privilégios e poder? https://t.co/J4OHYUJIJ8,"['político', 'conhece', 'disposto', 'abrir', 'mão', 'tantos', 'privilégios']",[],[]
