,text,token_list,Hashtag,Mentions
0,#AoVivo: Cruz Alta recebe Lula https://t.co/Z0lu6HOgdR #LulaPeloSul,"['cruz', 'alta', 'recebe', 'lula']","['aovivo', 'lulapelosul']",[]
1,"Visita ao Sítio Arqueológico de São Miguel Arcanjo, em São Miguel das Missões, no Rio Grande do Sul. #LulaPeloSul #LulaPeloBrasil 

Fotos: Ricardo Stuckert https://t.co/U7AlTos9iv","['visita', 'sítio', 'arqueológico', 'miguel', 'arcanjo', 'miguel', 'missões', 'rio', 'sul', 'fotos', 'ricardo', 'stuckert']","['lulapelosul', 'lulapelobrasil']",[]
2,Acompanhe a entrevista de Lula para a Rádio Guaíba: https://t.co/8A2Qv4eLLD #LulaPeloSul,"['acompanhe', 'entrevista', 'lula', 'rádio', 'guaíba']",['lulapelosul'],[]
3,"“Eu amo a escola, a estrutura é boa, os professores são excelentes”, avalia o aluno que odeia Lula e faz três cursos gratuitos no Instituto Federal Farroupilha, criado em 2008 durante o governo do ex-presidente: https://t.co/Dz61atQ4mU","['amo', 'escola', 'estrutura', 'professores', 'excelentes', 'avalia', 'aluno', 'odeia', 'lula', 'cursos', 'gratuitos', 'instituto', 'federal', 'farroupilha', 'criado', '2008', 'durante', 'governo', 'ex-presidente']",[],[]
4,#AoVivo: Lula visita as Ruínas de São Miguel das Missões  https://t.co/RsBiUJ42HT #LulaPeloSul,"['lula', 'visita', 'ruínas', 'miguel', 'missões']","['aovivo', 'lulapelosul']",[]
5,"Logo mais, Lula visita o Sítio Arqueológico de São Miguel Arcanjo (RS), popularmente conhecido como Ruínas de São Miguel das Missões. Símbolo de resistência, Lula esteve no local com D. Marisa na década de 90, durante as Caravanas da Cidadania.

Fotos: Nara Filippon https://t.co/Wch8ajuNQR","['lula', 'visita', 'sítio', 'arqueológico', 'miguel', 'arcanjo', 'rs', 'popularmente', 'ruínas', 'miguel', 'missões', 'símbolo', 'resistência', 'lula', 'd', 'marisa', 'década', '90', 'durante', 'caravanas', 'cidadania', 'fotos', 'nara', 'filippon']",[],[]
6,"São Borja, Rio Grande do Sul. #LulapeloSul

Fotos: Ricardo Stuckert https://t.co/TJ9eC05vnV","['borja', 'rio', 'sul', 'fotos', 'ricardo', 'stuckert']",['lulapelosul'],[]
7,https://t.co/srx6qRwoNL,[],[],[]
8,"Venham disputar as eleições. Se vocês ganharem, eu fico quieto. Se nós ganharmos, vamos fazer um governo melhor do que todos que já fizemos neste país. Um abraço e até mais, São Borja! #LulaPeloSul #LulaPeloRS","['venham', 'disputar', 'eleições', 'ganharem', 'fico', 'ganharmos', 'vamos', 'governo', 'melhor', 'fizemos', 'país', 'abraço', 'borja']","['lulapelosul', 'lulapelors']",[]
9,"Nenhum deles é mais honesto do que eu. Reviraram minha casa, reviraram até o colchão, abriram o exaustor... e não tiveram coragem de pedir desculpas e dizer que não encontraram um centavo errado na minha vida #LulaPeloSul #LulaPeloRS","['nenhum', 'honesto', 'reviraram', 'casa', 'reviraram', 'colchão', 'abriram', 'exaustor', 'coragem', 'pedir', 'desculpas', 'encontraram', 'centavo', 'errado', 'vida']","['lulapelosul', 'lulapelors']",[]
10,"Sou grato de coração ao gesto generoso de vocês vindo aqui nos ouvir. E se eles quiserem me derrotar, eles que freiem coragem e disputem as eleições. Não tentem arranjar subterfúgios pra justiça me tirar das eleições. #LulaPeloSul #LulaPeloRS","['grato', 'coração', 'gesto', 'generoso', 'ouvir', 'quiserem', 'derrotar', 'freiem', 'coragem', 'disputem', 'eleições', 'tentem', 'arranjar', 'subterfúgios', 'pra', 'justiça', 'tirar', 'eleições']","['lulapelosul', 'lulapelors']",[]
11,"Eu perdi em 89, 94, 98 e vcs não me viram ir para a televisão dizer que a eleição não valia. A Dilma ganhou em 2010, ganhou em 2014 e eles não aceitaram, entraram na justiça dizendo que não valia #LulaPeloSul #LulaPeloRS","['perdi', '89', '94', '98', 'vcs', 'viram', 'televisão', 'eleição', 'valia', 'dilma', 'ganhou', '2010', 'ganhou', '2014', 'aceitaram', 'entraram', 'justiça', 'dizendo', 'valia']","['lulapelosul', 'lulapelors']",[]
12,Eu fui o único presidente que não tinha diploma universitário. E fui o presidente que mais universidades fez neste país #LulaPeloSul #LulaPeloRS,"['único', 'presidente', 'diploma', 'universitário', 'presidente', 'universidades', 'país']","['lulapelosul', 'lulapelors']",[]
