,text,token_list,Hashtag,Mentions
0,"Hoje tive a alegria de assistir a inspiradora série ""Manual de Sobrevivência para o Século XXI”, dirigida por João Amorim e apresentada por Marcos Palmeira, que viaja pelo Brasil em busca de iniciativas simples e exitosas na luta pela sustentabilidade. #ForumMundialDaAgua https://t.co/QwpwLgrECV","['hoje', 'alegria', 'assistir', 'inspiradora', 'série', 'manual', 'sobrevivência', 'século', 'xxi', 'dirigida', 'joão', 'amorim', 'apresentada', 'marcos', 'palmeira', 'viaja', 'brasil', 'busca', 'iniciativas', 'simples', 'exitosas', 'luta', 'sustentabilidade']",['forummundialdaagua'],[]
1,"É tanto apagão no Brasil: apagão político, apagão moral, apagão da segurança pública, apagão dos serviços públicos e agora mais esse apagão energético. Mas não apagarão nossa esperança de lutar por um Brasil melhor!","['apagão', 'brasil', 'apagão', 'político', 'apagão', 'moral', 'apagão', 'segurança', 'pública', 'apagão', 'serviços', 'públicos', 'apagão', 'energético', 'apagarão', 'esperança', 'lutar', 'brasil', 'melhor']",[],[]
2,Basta de candidaturas que buscam a função pública para se esconder da Justiça.,"['basta', 'candidaturas', 'buscam', 'função', 'pública', 'esconder', 'justiça']",[],[]
3,"Hj estive na abertura de uma mesa do 8º Fórum Mundial da Água, a convite do ministro Herman Benjamin. A gestão sustentável da água e o saneamento para todos precisam ser tratados com maior senso de urgência e importância. A água deve estar no cerne do desenvolvimento sustentável! https://t.co/48dE4dlQqT","['hj', 'abertura', 'mesa', '8º', 'fórum', 'mundial', 'água', 'convite', 'ministro', 'herman', 'benjamin', 'gestão', 'sustentável', 'água', 'saneamento', 'precisam', 'tratados', 'senso', 'urgência', 'importância', 'água', 'cerne', 'desenvolvimento', 'sustentável']",[],[]
4,"Estamos muito felizes com a filiação da professora Nilmar Ruiz para o time de pré-candidatos da REDE ao Senado. Ela já foi prefeita de Palmas-TO, deputada-federal e dará uma enorme contribuição junto com nosso pré-candidato ao governo, Márlon Reis, autor da Lei da Ficha Limpa. https://t.co/j3eS9IDgIg","['felizes', 'filiação', 'professora', 'nilmar', 'ruiz', 'time', 'pré-candidatos', 'rede', 'senado', 'prefeita', 'palmas-to', 'deputada-federal', 'dará', 'enorme', 'contribuição', 'junto', 'pré-candidato', 'governo', 'márlon', 'reis', 'autor', 'lei', 'ficha', 'limpa']",[],[]
5,"Depois do assassinato de Marielle, também querem matar sua reputação, como fizeram com Chico Mendes e irmã Dorothy. A difusão de notícias caluniosas é criminosa e repugnante. Isso também precisa de uma resposta urgente da Justiça!","['assassinato', 'marielle', 'matar', 'reputação', 'fizeram', 'chico', 'mendes', 'irmã', 'dorothy', 'difusão', 'notícias', 'caluniosas', 'criminosa', 'repugnante', 'precisa', 'resposta', 'urgente', 'justiça']",[],[]
6,"Ontem estive com diretor-executivo do Programa das Nações Unidas para o Meio Ambiente, Erik Solheim, para conversar sobre os desafios nacionais e globais na agenda ambiental, como parte das discussões do 8º Fórum Mundial da Água em Brasília. https://t.co/3oKJx1qu8O","['diretor-executivo', 'programa', 'nações', 'unidas', 'ambiente', 'erik', 'solheim', 'conversar', 'desafios', 'nacionais', 'globais', 'agenda', 'ambiental', 'discussões', '8º', 'fórum', 'mundial', 'água', 'brasília']",[],[]
7,"Neste domingo, responderei algumas perguntas ao vivo no Facebook. Espero vocês, amanhã às 18h! https://t.co/XN0r4C3xEt","['domingo', 'responderei', 'perguntas', 'vivo', 'facebook', 'espero', 'amanhã', '18h']",[],[]
8,Chico Mendes morreu na defesa dos injustiçados da floresta. Marielle morreu defendendo os injustiçados da cidade. O sentimento é de muita tristeza e indignação. Do Rio de Janeiro chora o mundo inteiro! #MariellePresente https://t.co/BKTTxSidUL,"['chico', 'mendes', 'morreu', 'defesa', 'injustiçados', 'floresta', 'marielle', 'morreu', 'defendendo', 'injustiçados', 'cidade', 'sentimento', 'muita', 'tristeza', 'indignação', 'rio', 'janeiro', 'chora', 'mundo', 'inteiro']",['mariellepresente'],[]
9,"É muito grave e triste a notícia do assassinato da vereadora Marielle Franco do PSOL-RJ. As autoridades precisam abrir investigações rigorosas. Minha solidariedade, nesse momento de perda e dor. Que Deus possa consolar a família, amigos e companheiros de militância.","['grave', 'triste', 'notícia', 'assassinato', 'vereadora', 'marielle', 'franco', 'psol-rj', 'autoridades', 'precisam', 'abrir', 'investigações', 'rigorosas', 'solidariedade', 'perda', 'dor', 'deus', 'possa', 'consolar', 'família', 'amigos', 'companheiros', 'militância']",[],[]
10,"Stephen Hawking foi um ser humano questionador e realizador, que praticou a complexidade como poucos. Diante do diagnóstico que teria apenas mais 2 anos de vida, escolheu viver. Viveu intensamente por mais meio século e sua persistência exemplar deixou um legado inestimável. https://t.co/5ep3wQnSVg","['stephen', 'hawking', 'humano', 'questionador', 'realizador', 'praticou', 'complexidade', 'poucos', 'diagnóstico', '2', 'anos', 'vida', 'escolheu', 'viver', 'viveu', 'intensamente', 'século', 'persistência', 'exemplar', 'deixou', 'legado', 'inestimável']",[],[]
11,É alarmante a recorrência de graves crimes ambientais por mineradoras no Brasil. Esses crimes não podem ficar impunes! https://t.co/n1TrSxk6yn,"['alarmante', 'recorrência', 'graves', 'crimes', 'ambientais', 'mineradoras', 'brasil', 'crimes', 'ficar', 'impunes']",[],[]
12,Não vale tudo para ganhar uma eleição! https://t.co/oe4x0TBJeP,"['vale', 'ganhar', 'eleição']",[],[]
13,"Tive a agradável surpresa de encontrar o cantor Ney Matogrosso em Bauru/SP, a voz que canta o amor: ""leve, como leve pluma. Muito leve, leve pousa"". https://t.co/exE2wOCaUe","['agradável', 'surpresa', 'encontrar', 'cantor', 'ney', 'matogrosso', 'bauru', 'sp', 'voz', 'canta', 'amor', 'leve', 'leve', 'pluma', 'leve', 'leve', 'pousa']",[],[]
14,Ontem gravei as '10 perguntas com Maurício Meirelles'. Em breve estará no canal desse jovem humorista. https://t.co/xjXSDCauhq,"['gravei', '10', 'perguntas', 'maurício', 'meirelles', 'canal', 'jovem', 'humorista']",[],[]
15,"Hoje estive com o movimento global de empresas do @SistemaB, que é um exemplo vivo na busca de uma transformação sistêmica da economia. Agradeço a direção do movimento pela conversa generosa, agradável e esperançosa que tivemos hoje pela manhã. A nova economia já é uma realidade! https://t.co/2VPqBYgZZ1","['hoje', 'movimento', 'global', 'empresas', 'vivo', 'busca', 'transformação', 'sistêmica', 'economia', 'agradeço', 'direção', 'movimento', 'conversa', 'generosa', 'agradável', 'esperançosa', 'hoje', 'manhã', 'economia', 'realidade']",[],['sistemab']
16,"Ontem fizemos uma visita técnica ao Centro de Cidadania Fiscal. Vamos nos debruçar sobre as propostas para simplificar o sistema tributário, aumentar sua capacidade distributiva, favorecer a eficiência econômica e promover as atividades sustentáveis. https://t.co/sQw7KrpXai","['fizemos', 'visita', 'técnica', 'centro', 'cidadania', 'fiscal', 'vamos', 'debruçar', 'propostas', 'simplificar', 'tributário', 'aumentar', 'capacidade', 'distributiva', 'favorecer', 'eficiência', 'econômica', 'promover', 'atividades', 'sustentáveis']",[],[]
17,"O #DiadaMulher existe para lembrar que não vamos parar de lutar pelos nossos direitos. Nunca subestimem o poder das mulheres que sonham por um mundo mais justo. Sozinhas podemos ser gotas, mas juntas somos um oceano!","['existe', 'lembrar', 'vamos', 'parar', 'lutar', 'direitos', 'subestimem', 'mulheres', 'sonham', 'mundo', 'justo', 'sozinhas', 'podemos', 'gotas', 'juntas', 'oceano']",['diadamulher'],[]
18,"Se hoje estou aqui, foi graças a Deus, aos que me ajudaram e à educação. Não é um discurso, é uma vida! https://t.co/XkzsFbKDFp","['hoje', 'graças', 'deus', 'ajudaram', 'educação', 'discurso', 'vida']",[],[]
19,"@Marcio_13D Márcio, você não deve ter visto o tuíte em destaque no meu perfil. Dá uma olhadinha. Diz isso aqui: É urgente colocar um fim ao foro privilegiado para derrubar o muro da impunidade. E a REDE relatou e deu parecer favorável ao projeto de lei que pede o fim do foro privilegiado.","['márcio', 'visto', 'tuíte', 'destaque', 'perfil', 'olhadinha', 'urgente', 'colocar', 'foro', 'privilegiado', 'derrubar', 'muro', 'impunidade', 'rede', 'relatou', 'deu', 'parecer', 'favorável', 'projeto', 'lei', 'pede', 'foro', 'privilegiado']",[],['marcio_13d']
20,"Defendo a Lei da Ficha Limpa também para a nomeação de ministros, secretários e todos os cargos públicos. https://t.co/Rp0gK5DOn6","['defendo', 'lei', 'ficha', 'limpa', 'nomeação', 'ministros', 'secretários', 'cargos', 'públicos']",[],[]
21,"Na democracia todos têm o direito de se colocar como candidatos, desde que estejam de acordo com a Lei da Ficha Limpa.","['democracia', 'direito', 'colocar', 'candidatos', 'acordo', 'lei', 'ficha', 'limpa']",[],[]
22,"Participei das discussões do Pacto Mundial pelo Meio Ambiente, a convite do prof @JeffDSachs, o diretor da Rede de Soluções para o Desenvolvimento Sustentável da ONU. Esse encontro em Bogotá está sendo organizado pela ONU e a Procuradoria Geral da Colômbia. #PactoMundialAmbiente https://t.co/j0WbvbXXD8","['participei', 'discussões', 'pacto', 'mundial', 'ambiente', 'convite', 'prof', 'diretor', 'rede', 'soluções', 'desenvolvimento', 'sustentável', 'onu', 'encontro', 'bogotá', 'sendo', 'organizado', 'onu', 'procuradoria', 'colômbia']",['pactomundialambiente'],['jeffdsachs']
23,As autoridades não podem se omitir diante desse grave crime ambiental em Barcarena/PA. As investigações tem que prosseguir e os responsáveis punidos de maneira exemplar. https://t.co/Ia9pV4Qf9b,"['autoridades', 'omitir', 'grave', 'crime', 'ambiental', 'barcarena', 'pa', 'investigações', 'prosseguir', 'responsáveis', 'punidos', 'maneira', 'exemplar']",[],[]
24,Lamentável a anistia aos crimes ambientais. É preciso acabar com a cultura da impunidade no nosso país. https://t.co/4JuumjBjze,"['lamentável', 'anistia', 'crimes', 'ambientais', 'preciso', 'acabar', 'cultura', 'impunidade', 'país']",[],[]
25,"Em 2017, participei do lançamento do Pacto Mundial pelo Meio Ambiente a convite do presidente francês @EmmanuelMacron na ONU. Estou a caminho de Bogotá para outra reunião, organizada pela ONU e a Procuradoria Geral da Colômbia, com especialistas como o prof. @jeffdsachs. https://t.co/1F2vHSipHA","['2017', 'participei', 'lançamento', 'pacto', 'mundial', 'ambiente', 'convite', 'presidente', 'francês', 'onu', 'bogotá', 'reunião', 'organizada', 'onu', 'procuradoria', 'colômbia', 'especialistas', 'prof']",[],"['emmanuelmacron', 'jeffdsachs']"
26,Todo cidadão ficha limpa deve ter o direito de disputar uma eleição sem depender de filiação partidária. A maioria dos partidos deixaram de fazer política para fazer negócios espúrios. Defendo a renovação política por meio de candidaturas independentes desde 1996. https://t.co/2d0odwf5ay,"['cidadão', 'ficha', 'limpa', 'direito', 'disputar', 'eleição', 'depender', 'filiação', 'partidária', 'partidos', 'deixaram', 'política', 'negócios', 'espúrios', 'defendo', 'renovação', 'política', 'candidaturas', 'independentes', '1996']",[],[]
27,Hoje assinamos a coligação cidadã entre a @REDE_18 e o @agora_movimento. As candidaturas independentes são fundamentais para quebrar o monopólio dos partidos. A renovação política é uma tarefa urgente e precisa acontecer agora! https://t.co/vGjzCBcicH,"['hoje', 'assinamos', 'coligação', 'cidadã', 'candidaturas', 'independentes', 'fundamentais', 'quebrar', 'monopólio', 'partidos', 'renovação', 'política', 'tarefa', 'urgente', 'precisa', 'acontecer']",[],"['rede_18', 'agora_movimento']"
28,Sou pré-candidata à presidência para unir os brasileiros a favor do Brasil. https://t.co/4A1AUOKMUf,"['pré-candidata', 'presidência', 'unir', 'brasileiros', 'brasil']",[],[]
29,"RT @REDE_18: A REDE e o @agora_movimento assinam Carta-Compromisso, nesta terça (27) às 16h, com transmissão ao vivo no nosso facebook. Aco…","['rt', 'rede', 'assinam', 'carta-compromisso', 'terça', '27', '16h', 'transmissão', 'vivo', 'facebook', 'aco']",[],"['rede_18', 'agora_movimento']"
30,"Diziam que eu ia acabar com o Bolsa Família, Minha Casa Minha Vida, Prouni, Pronatec, Círio de Nazaré, a padroeira do Brasil, Transposição do São Francisco, etc… Quem ganha uma eleição mentindo, governa mentindo. Aprendi que vale a pena persistir na verdade. #Fantastico","['diziam', 'ia', 'acabar', 'bolsa', 'família', 'casa', 'vida', 'prouni', 'pronatec', 'círio', 'nazaré', 'padroeira', 'brasil', 'transposição', 'francisco', 'etc', 'ganha', 'eleição', 'mentindo', 'governa', 'mentindo', 'aprendi', 'vale', 'pena', 'persistir', 'verdade']",['fantastico'],[]
