,text,token_list,Hashtag,Mentions
0,"Independente das circunstâncias, estarei sempre à disposição do meu país. https://t.co/aKzOQOtTfA","['independente', 'circunstâncias', 'estarei', 'disposição', 'país']",[],[]
1,"""Temos que manter o Brasil e a economia caminhando na direção correta. Não há nada mágico, vamos retomar a reforma da Previdência, acelerar programas de infraestrutura e lançar a reforma tributária."" - @infomoney 

https://t.co/P7dQiT7yes","['manter', 'brasil', 'economia', 'caminhando', 'direção', 'correta', 'mágico', 'vamos', 'retomar', 'reforma', 'previdência', 'acelerar', 'programas', 'infraestrutura', 'lançar', 'reforma', 'tributária']",[],['infomoney']
2,"Foi muito bom visitar a @tecnoshowcomigo e conversar com os produtores rurais. O setor do agronegócio é produtivo, unido, inovador e representa o que o Brasil tem de melhor. 

Soube que a feira, este ano, cresceu 47% em volume de negócios. Um ótimo sinal para a nossa economia. https://t.co/izzO6hbApK","['visitar', 'conversar', 'produtores', 'rurais', 'setor', 'agronegócio', 'produtivo', 'unido', 'inovador', 'representa', 'brasil', 'melhor', 'soube', 'feira', 'ano', 'cresceu', '47', 'volume', 'negócios', 'ótimo', 'sinal', 'economia']",[],['tecnoshowcomigo']
3,https://t.co/SgRusez20R,[],[],[]
4,"O debate político contaminado por posições extremas só é bom para quem se alimenta dessa polarização. Já para o país, isso é muito ruim porque deixa em segundo plano aquilo que é o essencial: os problemas reais das pessoas e o que precisa ser feito para solucioná-los. https://t.co/foE6dJhgMD","['debate', 'político', 'contaminado', 'posições', 'extremas', 'alimenta', 'polarização', 'país', 'ruim', 'deixa', 'plano', 'essencial', 'problemas', 'reais', 'pessoas', 'precisa', 'feito', 'solucioná-los']",[],[]
5,"Os populistas dizem: não é preciso reformar a previdência

A realidade: o país quebra, no médio prazo, se a reforma não for feita

Os populistas dizem: não é preciso reduzir a despesa pública

A realidade: todas as crises no Brasil ocorreram por descontrole dos gastos do governo","['populistas', 'preciso', 'reformar', 'previdência', 'realidade', 'país', 'quebra', 'médio', 'prazo', 'reforma', 'feita', 'populistas', 'preciso', 'reduzir', 'despesa', 'pública', 'realidade', 'crises', 'brasil', 'ocorreram', 'descontrole', 'gastos', 'governo']",[],[]
6,O aumento da produtividade é uma das coisas mais importantes que o Brasil precisa buscar. Mas o que isso significa? A resposta no vídeo. https://t.co/tm2JGVld2R,"['aumento', 'produtividade', 'coisas', 'importantes', 'brasil', 'precisa', 'buscar', 'significa', 'resposta', 'vídeo']",[],[]
7,"Menos discurso, mais resultados. https://t.co/35IuHGLE2t","['discurso', 'resultados']",[],[]
8,"""Tenho resultado concreto para mostrar. As pessoas estão cansadas de falatório. Entramos no governo na maior recessão da história. O Brasil saiu da recessão, está crescendo, criando empregos, a inflação é a mais baixa em 20 anos."" - @Estadao 

https://t.co/wBRvXpL9cU","['resultado', 'concreto', 'mostrar', 'pessoas', 'cansadas', 'falatório', 'entramos', 'governo', 'recessão', 'história', 'brasil', 'saiu', 'recessão', 'crescendo', 'criando', 'empregos', 'inflação', 'baixa', '20', 'anos']",[],['estadao']
9,"Um comparativo da situação da economia ao assumirmos o Ministério da Fazenda em maio de 2016 e de como está hoje após 22 meses de trabalho duro.

Em um curto período vencemos a crise, aprovamos reformas e colocamos o país no rumo certo. O Brasil precisa seguir por esse caminho! https://t.co/oRKz0HzD75","['comparativo', 'situação', 'economia', 'assumirmos', 'ministério', 'fazenda', 'maio', '2016', 'hoje', '22', 'trabalho', 'duro', 'curto', 'período', 'vencemos', 'crise', 'aprovamos', 'reformas', 'colocamos', 'país', 'rumo', 'certo', 'brasil', 'precisa', 'seguir']",[],[]
10,https://t.co/HOqlw1vTz0,[],[],[]
