,text,token_list,Hashtag,Mentions
0,"Foi uma reunião produtiva. Ouvi relatos de atividades sociais em curso, como os cerca de 13 mil atendimentos sociais que foram feitos na Vila Kennedy. E isto vai continuar durante a intervenção. Não basta combater a criminalidade, é preciso praticar gestos de natureza social. https://t.co/VkKD65v7Kv","['reunião', 'produtiva', 'ouvi', 'relatos', 'atividades', 'sociais', 'curso', 'cerca', '13', 'atendimentos', 'sociais', 'feitos', 'vila', 'kennedy', 'continuar', 'durante', 'intervenção', 'basta', 'combater', 'criminalidade', 'preciso', 'praticar', 'gestos', 'natureza', 'social']",[],[]
1,"Me reuni, há pouco, com o interventor do Rio de Janeiro, general Braga Netto, o governador do estado, @LFPezao, e ministros do governo no Centro Integrado de Comando e Controle (CICC). https://t.co/ZE1D8PSWXz","['reuni', 'interventor', 'rio', 'janeiro', 'general', 'braga', 'netto', 'governador', 'ministros', 'governo', 'centro', 'integrado', 'comando', 'controle', 'cicc']",[],['lfpezao']
2,"A minha política econômica está fazendo história. A taxa básica de juros, a Selic, é a menor já registrada, 6,5%, conforme decisão do Copom, hoje. E graças à inflação que continua baixando.  O resultado é mais investimentos das empresas, mais empregos e maior consumo das famílias https://t.co/AEsAuwnVvi","['política', 'econômica', 'fazendo', 'história', 'taxa', 'básica', 'juros', 'selic', 'registrada', '6,5', 'conforme', 'decisão', 'copom', 'hoje', 'graças', 'inflação', 'continua', 'baixando', 'resultado', 'investimentos', 'empresas', 'empregos', 'consumo', 'famílias']",[],[]
3,"A E-Digital foi desenvolvido por Grupo de Trabalho Interministerial, coordenado pelo Ministério da Ciência, Tecnologia, Inovações e Comunicações (@mctic), em parceria com o setor produtivo, comunidade científica e acadêmica e sociedade civil.","['e-digital', 'desenvolvido', 'trabalho', 'interministerial', 'coordenado', 'ministério', 'ciência', 'tecnologia', 'inovações', 'comunicações', 'parceria', 'setor', 'produtivo', 'comunidade', 'científica', 'acadêmica', 'sociedade', 'civil']",[],['mctic']
4,"Vamos aumentar a competitividade e a produtividade da economia brasileira com infraestrutura de redes e acesso à internet; pesquisa, desenvolvimento e inovação; confiança no ambiente digital; educação e capacitação profissional. #cdes #conselhão","['vamos', 'aumentar', 'competitividade', 'produtividade', 'economia', 'brasileira', 'infraestrutura', 'redes', 'acesso', 'internet', 'pesquisa', 'desenvolvimento', 'inovação', 'confiança', 'ambiente', 'digital', 'educação', 'capacitação', 'profissional']","['cdes', 'conselhão']",[]
5,"Assinei, agora, o decreto que institui a Estratégia Brasileira para a Transformação Digital (E-Digital). O objetivo é criar um ambiente para impactos transformadores em agricultura, comércio, educação, finanças, indústria e serviços. #cdes #conselhão https://t.co/XEbUZDB1tX","['assinei', 'decreto', 'institui', 'estratégia', 'brasileira', 'transformação', 'digital', 'e-digital', 'objetivo', 'criar', 'ambiente', 'impactos', 'transformadores', 'agricultura', 'comércio', 'educação', 'finanças', 'indústria', 'serviços']","['cdes', 'conselhão']",[]
6,"No Conselhão surgiu parte de nossas agendas de reformas: modernização trabalhista, criação do Conselho Nacional p/ a desburocratização, Educação Conectada, a Política Nacional de Formação de Professores, o novo Código de Ciência e Tecnologia, que se tornaram políticas do governo. https://t.co/QD2X8J0qvv","['conselhão', 'surgiu', 'agendas', 'reformas', 'modernização', 'trabalhista', 'criação', 'nacional', 'p', 'desburocratização', 'educação', 'conectada', 'política', 'nacional', 'formação', 'professores', 'código', 'ciência', 'tecnologia', 'tornaram', 'políticas', 'governo']",[],[]
7,"Hoje celebramos os 15 anos da criação do @cdes_brasil. Agradeço a todos, pois o #Conselhão representa o diálogo base do nosso governo. As recomendações do #CDES foram cumpridas e têm sido levadas adiante com resultados muito benéficos para o País. https://t.co/sd8CVZKYSf","['hoje', 'celebramos', '15', 'anos', 'criação', 'agradeço', 'representa', 'diálogo', 'base', 'governo', 'recomendações', 'cumpridas', 'sido', 'levadas', 'adiante', 'resultados', 'benéficos', 'país']","['conselhão', 'cdes']",['cdes_brasil']
8,(AI) #AoVivo Confira os anúncios da 47ª reunião plenária do Conselho de Desenvolvimento Econômico e Social (@cdes_brasil). Assista: https://t.co/ybxsy7u7Bq,"['ai', 'confira', 'anúncios', '47ª', 'reunião', 'plenária', 'desenvolvimento', 'econômico', 'social', 'assista']",['aovivo'],['cdes_brasil']
9,"Queremos combater o crime em todos os estados. Como ex-secretário de segurança, sei que essas coisas não se resolvem de um dia para o outro. A presença do militar traz tranquilidade. Eu, como presidente da República, digo: não vamos medir esforços p/ estabelecer a tranquilidade.","['queremos', 'combater', 'crime', 'estados', 'ex-secretário', 'segurança', 'coisas', 'resolvem', 'dia', 'outro', 'presença', 'militar', 'traz', 'tranquilidade', 'presidente', 'república', 'digo', 'vamos', 'medir', 'esforços', 'p', 'estabelecer', 'tranquilidade']",[],[]
